Phân loại	Mã dịch vụ (Service ID)	Tên dịch vụ	Loại thú cưng	Phân khúc cân nặng	Giá niêm yết (VNĐ)	Giá ưu đãi thành viên (VNĐ)	Thời gian thực hiện (Duration)	Đánh giá (Rating)	Lượt đánh giá (Review Count)	Mô tả chi tiết (Description)	Lợi ích chính (Key Benefits)	Quy trình thực hiện (Checklist)	Tiện ích / Cơ sở vật chất (Amenities)	Cấp độ nhân viên thực hiện (Groomer Level)	Hình ảnh	Trạng thái kinh doanh
Spa & Grooming – Đặc trị	SPA11	Nhuộm Lông Nghệ Thuật An Toàn	Chó	Nhỏ / Vừa	300.000	Bạc: 285.000 (-5%); Vàng: 270.000 (-10%); Kim cương: 255.000 (-15%)	90 phút	4.6	32	"Thiết kế nhuộm màu thời trang cho một số phân vùng lông như tai, đuôi, chân bằng màu nhuộm thảo dược chiết xuất tự nhiên 100% không gây kích ứng da."	"Tạo điểm nhấn diện mạo thời trang cực bắt mắt nổi bật cho bé; Màu nhuộm an toàn tuyệt đối ngay cả khi thú cưng liếm lông."	"Tiếp nhận và tư vấn màu nhuộm, vùng nhuộm phù hợp với cún; Tắm vệ sinh và sấy lông khô ráo; Phân tách vùng lông cần nhuộm; Thoa thuốc nhuộm thảo mộc nghệ thuật tỉ mỉ; Quấn giấy bạc cố định và ủ màu trong 25-30 phút; Xả sạch thuốc nhuộm bằng nước ấm; Thoa dầu xả khóa màu dưỡng mượt lông; Sấy khô hoàn toàn lông; Chụp ảnh lưu niệm; Bàn giao cún và Care-Log"	Thuốc nhuộm lông thảo mộc tự nhiên Opawz nhập khẩu Canada không chứa hóa chất độc hại amoniac, chổi nhuộm chuyên dụng, giấy bạc giữ màu	Senior Groomer	assets/images/services/spa/process/process_cat_long_cat_long1.jpg	Đang phục vụ
Spa & Grooming – Chăm sóc nhanh	SPA12	Gói Paw Care Premium – Chăm Sóc Bàn Chân	Chó / Mèo	Tất cả	120.000	Bạc: 114.000 (-5%); Vàng: 108.000 (-10%); Kim cương: 102.000 (-15%)	45 phút	4.9	47	"Liệu trình chăm sóc chuyên biệt cho bốn bàn chân, cắt tỉa gọn gàng lông kẽ chân, vệ sinh móng và thoa kem dưỡng ẩm đệm chân cao cấp."	"Phòng ngừa viêm kẽ chân, viêm móng; Loại bỏ lông kẽ dài gây trơn trượt khi chạy nhảy trên nền gạch; Giữ đệm chân mềm mại không bị nứt nẻ sần sùi."	"Tiếp nhận thú cưng; Cắt móng chân chân sát khuẩn; Mài dũa góc móng chân; Dùng tông đơ chuyên dụng cạo lông kẽ chân sạch sẽ; Rửa sạch bàn chân bằng dung dịch sát khuẩn dịu nhẹ; Lau khô bàn chân; Thoa kem massage đệm chân chiết xuất sáp ong mật; Bàn giao thú cưng và Care-Log"	Tông đơ cạo lông kẽ chân lưỡi sứ siêu nhỏ siêu êm, kem dưỡng đệm chân sáp ong hữu cơ hữu cơ Mỹ Organic Paw Balm	Junior Groomer	assets/images/services/spa/process/process_ve_sinh_chan_rua_chan.jpg,assets/images/services/spa/process/process_ve_sinh_chan_lau_chan.jpg,assets/images/services/spa/process/process_ve_sinh_chan_cao_chan.jpg	Đang phục vụ
Spa & Grooming – Chăm sóc cơ bản	SPA13	Gói Tắm & Sấy Vệ Sinh Thú Nhỏ	Thỏ / Bọ ú	Tất cả (<5kg)	150.000	Bạc: 142.500 (-5%); Vàng: 135.000 (-10%); Kim cương: 127.500 (-15%)	60 phút	4.8	39	"Liệu trình làm sạch lông da đặc biệt nhẹ nhàng dành riêng cho thỏ cảnh, bọ ú (guinea pig) vốn là những loài dễ bị hạ thân nhiệt và stress nặng khi gặp nước."	"Khử mùi hôi phân nước tiểu bám lông đít; Làm sạch da lông dịu nhẹ; Quy trình sấy chuyên biệt bảo vệ hệ hô hấp và tránh cảm lạnh cho bé."	"Tiếp nhận bé và kiểm tra tình trạng sức khỏe nhịp tim; Chải gỡ rối lông xơ bằng lược gỗ nhỏ; Tắm bằng nước ấm tiêu chuẩn 38 độ C trong chậu tắm nhỏ chuyên dụng; Sử dụng sữa tắm chiết xuất yến mạch hữu cơ dịu nhẹ; Xả sạch nước ấm nhanh chóng; Quấn khăn tắm microfiber siêu thấm hút ôm ấp xoa dịu bé; Sấy khô lông 100% bằng máy sấy sưởi hồng ngoại siêu êm; Cắt móng chân thỏ nhẹ nhàng; Bàn giao bé và Care-Log"	Bể tắm cạn ấm áp cho thú nhỏ, máy sấy nhiệt hồng ngoại không tiếng ồn, dầu tắm yến mạch dịu nhẹ lành tính Oat Milk Shampoo, khăn quấn ủ ấm	Senior Groomer	assets/images/services/spa/process/process_tam_tam.jpg,assets/images/services/spa/process/process_say_say_long3.jpg	Đang phục vụ
Spa & Grooming – Chăm sóc nhanh	SPA14	Vệ Sinh Răng & Cắt Móng Thú Nhỏ	Thỏ / Hamster / Bọ ú	Tất cả	80.000	Bạc: 76.000 (-5%); Vàng: 72.000 (-10%); Kim cương: 68.000 (-15%)	25 phút	4.7	25	"Dịch vụ vệ sinh cục bộ định kỳ, hỗ trợ cắt tỉa móng chân dài sắc nhọn và kiểm tra, mài dũa móng hoặc răng cửa bị mọc quá dài cho thỏ, hamster, bọ ú."	"Giúp thỏ hamster di chuyển dễ chịu không bị vướng móng vào nan chuồng; Phát hiện sớm các vấn đề về răng miệng mọc dài lệch khớp cắn nguy hiểm."	"Tiếp nhận bé thú nhỏ; Giữ bé cố định bằng khăn quấn chuyên dụng; Cắt móng chân bằng kềm siêu mini sắc bén; Mài mịn móng chân; Dùng dụng cụ y tế kiểm tra độ dài răng cửa; Làm sạch kẽ răng và khoang miệng bằng tăm bông sinh lý; Thoa gel dưỡng nướu thảo mộc; Bàn giao bé và Care-Log"	Khăn quấn quấn giữ bé chống cựa quậy, kềm cắt móng mini chuyên dụng cho hamster thỏ, gel vệ sinh răng miệng thảo dược ngọt mát	Junior Groomer	assets/images/services/spa/process/process_cat_mong_cat_mong.jpg	Đang phục vụ
Pet Hotel – Standard	HTL01	Phòng Standard	Chó / Mèo	Siêu nhỏ / Nhỏ	180.000 / đêm	Bạc: 171.000 (-5%); Vàng: 162.000 (-10%); Kim cương: 153.000 (-15%)	Theo ngày	4.7	115	"Không gian phòng lưu trú cơ bản tiêu chuẩn sạch sẽ, thoáng mát, thích hợp cho các bé chó mèo nhỏ hướng nội, thích sự yên tĩnh khi vắng chủ."	"Đảm bảo an toàn tuyệt đối và vệ sinh sạch sẽ trong suốt thời gian lưu trú; Chế độ dinh dưỡng khoa học đúng giờ; Không gian nghỉ ngơi ấm cúng."	"Check-in tiếp nhận bé và ghi chú thói quen ăn uống; Chuẩn bị phòng lưu trú (sát trùng và trải đệm ấm sạch); Cho ăn bữa sáng (8h) và bữa tối (18h) theo thực đơn tiêu chuẩn; Dọn vệ sinh khay cát/bãi tiểu 3 lần/ngày; Kiểm tra sức khỏe, đo nhiệt độ hàng ngày; Chơi tương tác nhẹ nhàng tại phòng; Check-out bàn giao bé và Care-Log tổng hợp lưu trú"	Phòng 60x60x60cm độc lập bằng gỗ thông tự nhiên kháng khuẩn, đệm bông cotton ấm áp, khay cát hạt đậu nành sạch sẽ, điều hòa trung tâm 26 độ C	Nhân viên chăm sóc lưu trú	assets/images/services/hotel/htl-htl01.jpg	Đang phục vụ
Pet Hotel – Standard	HTL02	Phòng Standard Plus	Chó / Mèo	Vừa	250.000 / đêm	Bạc: 237.500 (-5%); Vàng: 225.000 (-10%); Kim cương: 212.500 (-15%)	Theo ngày	4.8	84	"Không gian phòng rộng rãi hơn thích hợp cho chó mèo size vừa hoặc hai bé cún nhỏ cùng một nhà lưu trú chung để bầu bạn cùng nhau."	"Không gian rộng rãi tự do xoay người thoải mái; Có khu vực vận động nhẹ tại phòng; Chế độ chăm sóc chu đáo, dọn dẹp vệ sinh liên tục."	"Check-in tiếp nhận bé và kiểm tra cân nặng thực tế; Setup phòng ở rộng rãi sạch sẽ; Cho ăn bữa sáng và bữa tối với pate tươi King's Pet trộn hạt Royal Canin; Thay nước uống sạch tại bình tự động liên tục; Dọn vệ sinh phòng ở 4 lần/ngày; Cho bé ra sân chơi chung vận động nhẹ trong 30 phút dưới sự giám sát; Cập nhật ảnh hàng ngày gửi chủ nuôi; Check-out bàn giao bé"	Phòng gỗ thông 80x80x80cm, đệm ngủ êm ái chống thấm nước, bát ăn bát uống bằng inox kháng khuẩn, sân chơi trải thảm cỏ nhân tạo sạch sẽ	Nhân viên chăm sóc lưu trú	assets/images/services/hotel/htl-htl02.jpg	Đang phục vụ
Pet Hotel – Deluxe	HTL03	Phòng Deluxe	Chó / Mèo	Nhỏ / Vừa	380.000 / đêm	Bạc: 361.000 (-5%); Vàng: 342.000 (-10%); Kim cương: 323.000 (-15%)	Theo ngày	4.9	102	"Hạng phòng lưu trú cao cấp được trang bị Camera IP giám sát 24/7 riêng cho từng phòng giúp chủ nuôi tự theo dõi hình ảnh bé trực tiếp từ xa qua website."	"Chủ nuôi an tâm tuyệt đối nhờ camera livestream thời gian thực 24/7; Không gian nghỉ dưỡng sang trọng có máy lạnh mát mẻ ổn định; Đồ chơi đa dạng giải trí."	"Check-in VIP tiếp nhận bé và hướng dẫn chủ cài link xem camera; Setup phòng Deluxe với máy lạnh riêng biệt; Cho ăn 3 bữa/ngày với chế độ hạt pate organic cao cấp; Thay nước sạch tinh khiết từ đài phun nước thông minh; Dọn vệ sinh khay cát ngay lập tức sau khi bé đi vệ sinh; Cho bé ra sân chơi tương tác 1 tiếng/ngày; Cập nhật Care-Log kèm ảnh/video 2 lần/ngày; Check-out bàn giao bé"	Phòng kính cường lực cách âm 100x100x100cm sang trọng sạch sẽ, Camera IP HD góc rộng có hồng ngoại ban đêm xem qua App, đài phun nước Petkit, máy điều hòa Daikin	Nhân viên chăm sóc lưu trú	assets/images/services/hotel/htl-deluxe.jpg	Đang phục vụ
Pet Hotel – Deluxe	HTL04	Phòng Cat Condo – Khách Sạn Cho Mèo	Mèo	Tất cả	290.000 / đêm	Bạc: 275.500 (-5%); Vàng: 261.000 (-10%); Kim cương: 246.500 (-15%)	Theo ngày	4.9	58	"Hạng phòng được thiết kế cấu trúc chiều dọc chuyên biệt cho loài mèo với các bậc leo trèo nhảy nhót, trụ cào móng và võng nằm êm ái thư giãn."	"Đáp ứng thói quen leo trèo vận động trên cao của loài mèo; Giảm căng thẳng hoảng sợ nhờ không gian tách biệt hoàn toàn tiếng sủa của chó; Trụ cào móng giải trí."	"Check-in mèo cưng và ghi chú thói quen dùng cát; Chuẩn bị buồng Cat Condo sạch sẽ; Cấp nước sạch qua vòi tự động; Cho mèo ăn ngày 3 bữa (pate tươi và hạt mèo); Dọn khay vệ sinh 4 lần/ngày; Dùng chổi cọ lông dọn bụi phòng ở; Chơi đùa tương tác bằng cần câu mèo lông vũ 20 phút/ngày; Gửi ảnh báo cáo cho chủ; Check-out"	Buồng gỗ thiết kế 3 tầng leo trèo dọc kích thước 120x80x80cm, võng treo mềm mại cho mèo nằm cuộn tròn, trụ cào móng cuốn dây thừng sisal tự nhiên, khay vệ sinh bán khép kín khử mùi	Nhân viên chăm sóc lưu trú	assets/images/services/htl04.webp	Đang phục vụ
Pet Hotel – Luxury Suite	HTL05	Luxury Suite	Chó / Mèo	Tất cả	520.000 / đêm	Bạc: 494.000 (-5%); Vàng: 468.000 (-10%); Kim cương: 442.000 (-15%)	Theo ngày	4.9	89	"Biệt thự lưu trú hoàng gia siêu rộng rãi được thiết kế như một căn hộ nhỏ ấm cúng dành cho thú cưng VIP, có khu vui chơi riêng và chế độ chăm sóc 1:1."	"Trải nghiệm nghỉ dưỡng đẳng cấp thượng lưu không gò bó; Chế độ dinh dưỡng đặc biệt thiết kế riêng theo thói quen/dị ứng của bé; Camera giám sát trực tiếp chất lượng cao."	"Check-in sảnh VIP nhanh chóng; Thiết lập hồ sơ chăm sóc y tế và dinh dưỡng cá nhân hóa 1:1; Setup phòng Luxury Suite rộng lớn có tiểu cảnh leo trèo cho mèo hoặc khu chạy cho chó; Cho ăn theo menu riêng yêu cầu (Ví dụ: thịt bò áp chảo, ức gà luộc); Vệ sinh dọn phòng 6 lần/ngày; Dắt bé đi dạo công viên trong 45 phút/ngày; Cập nhật Care-Log thời gian thực kèm video livestream; Check-out bàn giao bé"	Căn hộ kính rộng 150x150x150cm decor tiểu cảnh leo trèo gỗ cao cấp, Camera giám sát thông minh xoay 360 độ, máy lọc không khí khử mùi chuyên dụng, đệm sưởi ấm điện tử	Chuyên gia chăm sóc thú cưng	assets/images/services/hotel/htl-htl05.jpg	Đang phục vụ
Pet Hotel – Luxury Suite	HTL06	Presidential Pet Suite	Chó	Lớn (>20kg)	850.000 / đêm	Bạc: 807.500 (-5%); Vàng: 765.000 (-10%); Kim cương: 722.500 (-15%)	Theo ngày	5.0	43	"Hạng phòng Presidential cao cấp nhất dành riêng cho các bé chó giống lớn (>20kg) như Golden Retriever, Husky, Alaska. Chăm sóc bởi Chuyên gia 1:1."	"Không gian siêu rộng lớn giúp bé vận động tự do thoải mái; Dịch vụ dắt đi dạo và spa tắm chải thư giãn miễn phí trong suốt đợt lưu trú; Nhật ký Care-Log cập nhật liên tục."	"Check-in tiếp nhận đặc biệt bởi Chuyên gia chăm sóc; Thiết lập khẩu phần ăn tươi giàu protein (bò, gà, cá hồi tươi); Bố trí phòng Presidential Suite rộng 3m2 có sân vườn mini riêng biệt; Dọn vệ sinh phòng liên tục mỗi giờ; Dắt đi dạo công viên rộng rãi 2 lần/ngày (sáng/chiều); Tắm chải vệ sinh miễn phí trước ngày check-out; Care-Log cập nhật realtime theo mỗi hoạt động của bé; Check-out và tặng quà lưu niệm lưu trú"	Phòng biệt thự mini 200x150x200cm có sân cỏ mini ngoài trời riêng tư, máy điều hòa không khí inverter lọc bụi mịn, camera xoay 360 độ điều khiển từ xa, đồ chơi thể thao chuyên dụng	Chuyên gia chăm sóc thú cưng	assets/images/services/htl06.webp	Đang phục vụ
Pet Hotel – Standard	HTL07	Dịch Vụ Bán Trú Trong Ngày (Daycare)	Chó / Mèo	Tất cả	100.000	Bạc: 95.000 (-5%); Vàng: 90.000 (-10%); Kim cương: 85.000 (-15%)	Khung giờ ngày	4.8	145	"Giải pháp gửi giữ thú cưng theo giờ hoặc trong ngày dành cho chủ nuôi bận rộn đi làm, đi công tác ngắn giờ, đảm bảo bé có bạn chơi đùa dưới sự giám sát."	"Bé được ăn uống vui chơi thoải mái lành mạnh tránh stress hoảng loạn khi ở nhà một mình cắn phá đồ; Giám sát y tế kịp thời nếu có biểu hiện bệnh."	"Tiếp nhận thú cưng vào buổi sáng từ 7h30-9h; Ghi chép thông tin ăn uống buổi trưa; Setup chuồng nghỉ tạm thời sạch sẽ; Cho ăn trưa (11h30) theo định lượng yêu cầu; Dọn dẹp vệ sinh ngay lập tức; Đưa bé tham gia khu vực vui chơi cộng đồng có đồ chơi giải trí lúc 14h-16h; Cho bé ăn nhẹ bữa xế chiều; Kiểm tra và bàn giao lại cho chủ trước 19h30; Care-Log cập nhật"	Sân chơi vui chơi chung trong nhà rộng rãi lót thảm chống trơn, điều hòa mát mẻ, đồ chơi đa dạng (bóng, đường hầm), khu vực ngủ trưa yên tĩnh riêng biệt	Nhân viên chăm sóc lưu trú	assets/images/services/htl07.webp	Đang phục vụ
Pet Hotel – Standard	HTL08	Phòng Small Pet Condo – Khách Sạn Thú Nhỏ	Thỏ / Hamster / Bọ ú	Tất cả	120.000 / đêm	Bạc: 114.000 (-5%); Vàng: 108.000 (-10%); Kim cương: 102.000 (-15%)	Theo ngày	4.8	43	"Hạng phòng gỗ chuyên dụng, an toàn cách âm tốt dành riêng cho các loài thú cưng nhỏ như Thỏ, Hamster, Bọ ú, được trang bị đầy đủ mùn cưa lót chuồng organic và đồ chơi."	"Đảm bảo an toàn không bị tấn công bởi chó mèo; Môi trường yên tĩnh sạch sẽ khô ráo; Chế độ ăn uống hạt ngũ cốc, rau củ tươi sấy khô sạch sẽ."	"Check-in tiếp nhận bé thú nhỏ (ghi chú thói quen ăn uống); Setup buồng Small Pet Condo (sát trùng và rải mùn cưa lót chuồng mới); Cho ăn bữa sáng và bữa tối (hạt Jolly, cỏ Timothy khô); Thay nước bình bi lăn sạch sẽ; Dọn dẹp chất thải 2 lần/ngày; Theo dõi sức khỏe; Check-out bàn giao bé"	Buồng gỗ thông cách âm 50x50x50cm độc lập mát mẻ 25 độ C, mùn cưa gỗ thông nén không bụi, đệm nằm nỉ mini, bánh chạy tập thể dục	Nhân viên chăm sóc lưu trú	assets/images/services/htl08.webp	Đang phục vụ
Pet Taxi – Vận chuyển	TXI01	Dịch Vụ Xe Đưa Đón Tận Nơi (Pet Taxi)	Chó / Mèo / Thú nhỏ	Tất cả	150.000	Bạc: 142.500 (-5%); Vàng: 135.000 (-10%); Kim cương: 127.500 (-15%)	Tính theo chuyến	4.7	64	"Dịch vụ đưa đón thú cưng an toàn tận nhà bằng xe ô tô chuyên dụng có lồng vận chuyển sạch sẽ cách âm, điều hòa mát mẻ mát mẻ cho bé đi spa/hotel."	"Tiết kiệm tối đa thời gian di chuyển của chủ nuôi; Đảm bảo an toàn tuyệt đối và sự thoải mái cho thú cưng không bị say xe hoảng sợ khi đi đường dài."	"Tiếp nhận yêu cầu địa điểm đưa đón và khung giờ; Admin điều phối xe ô tô chuyên chở đến tận nhà chủ nuôi; Kiểm tra và đưa bé cưng vào lồng vận chuyển trên xe cố định thắt dây bảo hiểm xe; Bật điều hòa mát mẻ và nhạc nhẹ xoa dịu stress; Di chuyển an toàn theo đúng lộ trình; Tiếp đón bé tại cửa hàng PawPal hoặc đưa bé về tận nhà bàn giao đúng hẹn; Ký nhận bàn giao"	Xe ô tô chuyên dụng có vách ngăn y tế an toàn, lồng vận chuyển kim loại lót thảm êm ái tiệt trùng sạch sẽ sau mỗi lượt đi, điều hòa riêng khu cabin thú cưng	Tài xế kiêm nhân viên cứu hộ thú cưng	assets/images/services/txi01.webp	Đang phục vụ
