Phân loại	Mã sản phẩm (SKU)	Tên sản phẩm	Thương hiệu (Brand)	Danh mục (Category)	Giá bán lẻ	Giá sau tích điểm	Số lượng tồn kho (Inventory)	Cảnh báo tồn kho tối thiểu	Xuất xứ	Đánh giá (Rating)	Lượt đánh giá (Review Count)	Thành phần	Công dụng	Hướng dẫn sử dụng	Thuộc tính đặc biệt / Quy cách đóng gói	Nhãn sản phẩm	Hình ảnh	Trạng thái
Thực phẩm	TP-SUP-11	Gel dinh dưỡng Virbac Nutri-Plus Gel phục hồi sức khỏe	Virbac	Thực phẩm	240.000	220.000	28	5	Pháp	4.9	156	"Hàm lượng cao Vitamin A, D3, E, B1, B2, B6, B12, Canxi pantothenate, Niacinamide, Sắt, Mangan, Magiê, Kali, chất béo dễ hấp thu chiết xuất từ mỡ động vật."	"Cung cấp năng lượng đậm đặc và các vitamin khoáng chất thiết yếu tức thì cho chó mèo bị suy nhược, bỏ ăn lâu ngày, chó mèo mẹ sau sinh, thú cưng đang dưỡng bệnh sau phẫu thuật."	"Cho thú cưng ăn trực tiếp từ ngón tay hoặc bôi lên miệng/bàn chân để thú cưng tự liếm. Liều lượng: 1-2 muỗng cà phê (khoảng 5-10cm gel) cho 5kg thể trọng cơ thể mỗi ngày."	Tuýp nhôm bọc nhựa 120.5g dạng gel đặc màu nâu, vị mạch nha thơm bùi kích thích vị giác thèm ăn	Khuyên dùng	assets/images/products/tp-sup-11.webp	Còn hàng
Thực phẩm	TP-SUP-12	Men vi sinh đường ruột Bene-Bac Plus nhập khẩu Mỹ	PetAg	Thực phẩm	320.000	295.000	14	3	Mỹ	4.9	42	"Hệ lợi khuẩn sống đậm đặc (Lactobacillus acidophilus, Bifidobacterium bifidum, Enterococcus faecium...) đạt tối thiểu 20 triệu CFU/gram gel, prebiotic FOS."	"Thiết lập và cân bằng lại hệ vi sinh đường ruột tức thì, trị tiêu chảy, phân lỏng do thay đổi thức ăn đột ngột, stress khi đổi môi trường, hoặc sau khi dùng kháng sinh lâu ngày."	"Bơm trực tiếp vào miệng thú cưng theo vạch chia trên ống xi-lanh. Liều lượng: 1g cho mỗi 4.5kg thể trọng cơ thể. Sử dụng định kỳ 2 lần/tuần để duy trì tiêu hóa tốt."	Xi-lanh nhựa chia vạch 15g dạng gel đặc vị ngọt dễ cho uống trực tiếp, tiện lợi sử dụng	Mới	assets/images/products/tp-sup-12.webp	Còn hàng
Thực phẩm	TP-HAT-13	Thức ăn hạt hỗn hợp cao cấp Jolly Fullvit cho Hamster	Jolly	Thực phẩm	85.000	75.000	60	8	Trung Quốc	4.7	104	"Các loại hạt ngũ cốc tự nhiên (lúa mạch, yến mạch, ngô bắp), hạt hướng dương giàu béo, cỏ nén linh lăng, rau củ quả sấy khô (cà rốt, chuối, đu đủ), tôm khô mini."	"Cung cấp dinh dưỡng hoàn chỉnh cân bằng giúp Hamster khỏe mạnh, lanh lợi. Thiết kế hạt thô cứng vừa phải giúp Hamster mài răng tự nhiên trong lúc nhai, ngăn ngừa các bệnh răng mọc quá dài đâm vào nướu."	"Cho ăn hàng ngày. Đổ đầy khay ăn nhỏ của Hamster. Đảm bảo thay thức ăn thừa mỗi ngày để tránh ẩm mốc. Luôn để sẵn bình nước sạch."	Gói 1kg hỗn hợp hạt ngũ cốc đa dạng, dành riêng cho các dòng Hamster (Winter White, Robo, Bear)	Bán chạy	assets/images/products/tp-hat-13.webp	Còn hàng
Thực phẩm	TP-CO-14	Cỏ khô Timothy hữu cơ Alfalfa thơm ngon cho thỏ cảnh	PawPal	Thực phẩm	110.000	99.000	40	10	Mỹ	4.8	83	"100% cỏ Timothy hữu cơ nguyên chất thu hoạch ở giai đoạn đầu, sấy khô giữ nguyên màu xanh tươi, mùi hương cỏ đồng nội thơm nhẹ tự nhiên."	"Nguồn chất xơ dồi dào hỗ trợ hệ tiêu hóa nhạy cảm của thỏ hoạt động trơn tru, ngăn ngừa đầy hơi táo bón. Giúp mài mòn răng thỏ tự nhiên, bảo vệ sức khỏe răng miệng tối đa."	"Cho thỏ ăn tự do không giới hạn lượng cỏ khô mỗi ngày. Cỏ Timothy nên chiếm 80% khẩu phần ăn hàng ngày của thỏ. Loại bỏ những phần cỏ cũ bị ướt/bẩn trong chuồng."	Gói đóng ép bánh 1kg cỏ khô nguyên cọng, không bụi, thơm mát tự nhiên cho thỏ và bọ ú	Khuyên dùng	assets/images/products/tp-co-14.webp	Còn hàng
Thực phẩm	TP-SUP-15	Bánh mài răng cho Hamster và thỏ vị cỏ dâu tây	Jolly	Thực phẩm	45.000	39.000	120	15	Trung Quốc	4.5	62	"Bột cỏ Timothy, bột yến mạch hữu cơ, hương dâu tây tự nhiên, vitamin tổng hợp, canxi, chất xơ thô thực vật nén ép áp lực cực cao."	"Cung cấp bánh ăn dặm mài răng cứng chắc giúp thú nhỏ giải trí và bào mòn răng cửa liên tục mọc dài. Bổ sung xơ thô và khoáng chất canxi giúp xương chắc khỏe."	"Cho ăn trực tiếp như bánh thưởng. Khẩu phần khuyến nghị: 1-2 cái/tuần tùy thuộc vào kích thước của Hamster hoặc thỏ. Đặt trực tiếp vào chuồng."	Túi zip 150g chứa 10 bánh nén hình khúc tròn vị dâu thơm ngọt kích thích vị giác thú nhỏ	Mới	assets/images/products/tp-sup-15.webp	Còn hàng
Đồ dùng	DD-BAT-01	Bát ăn đôi bằng inox đế nhựa PP cao cấp chống kiến bò	OEM	Đồ dùng	85.000	75.000	25	3	Trung Quốc	4.6	62	"Nhựa PP cao cấp nguyên sinh không chứa BPA gây hại, lòng bát bằng inox 304 không gỉ độ bền cao, đệm cao su chống trượt dưới đáy bát."	"Thiết kế cấu trúc rãnh chứa nước xung quanh chống kiến, gián và các loại côn trùng bò vào thức ăn của thú cưng một cách triệt để. Hai lòng bát inox giúp đựng song song nước uống và thức ăn tiện lợi, chất liệu inox kháng khuẩn tốt và ngăn ngừa hiện tượng đen cằm ở mèo."	"Đổ một lượng nước nhỏ vào rãnh xung quanh để ngăn côn trùng bò qua. Bỏ thức ăn vào lòng bát inox bên trái và nước sạch vào bát bên phải. Vệ sinh lòng bát inox hàng ngày bằng nước rửa bát dịu nhẹ và phơi khô ráo."	Đế nhựa PP màu hồng pastel (kích thước 32x18x6cm), 2 lòng bát inox 304 đường kính 14cm có thể tháo rời	Mới	assets/images/products/dd-bat-01.webp	Còn hàng
Đồ dùng	DD-BINH-02	Bình nước gắn chuồng đầu bi lăn tự động thông minh	Pawise	Đồ dùng	110.000	99.000	12	3	Mỹ	4.7	43	"Thân bình làm từ nhựa ABS dày dặn chịu lực tốt, đầu vòi bằng thép không gỉ 304 chống rỉ sét, lò xo thép kép, bi lăn tròn làm từ thép cao cấp."	"Cung cấp giải pháp uống nước sạch tuyệt đối cho thú cưng trong chuồng, loại bỏ tình trạng nước bị bụi bẩn, lông rụng hay thức ăn rơi vào. Thiết kế đầu bi lăn tự động chỉ chảy nước khi thú cưng liếm giúp giữ cho lông cằm và sàn chuồng luôn khô ráo, sạch sẽ."	"Đổ đầy nước vào bình (bắt buộc phải đổ đầy để tạo áp suất chân không chống rò nước), vặn chặt vòi phun. Gài bình nước vào nan chuồng sắt ở chiều cao phù hợp với tầm với của thú cưng, dùng tay ấn nhẹ thử đầu bi để nước chảy ra kiểm tra trước."	Dung tích 500ml, cơ chế đầu bi kép chống rò rỉ nước, vòi phun dài 8cm, có giá gài chuồng đa năng	Khuyên dùng	assets/images/products/dd-binh-02.webp	Còn hàng
Đồ dùng	DD-MAY-03	Đài phun nước lọc tự động thông minh Petkit Eversweet 3	Petkit	Đồ dùng	950.000	890.000	0	2	Trung Quốc	4.9	54	"Vỏ máy nhựa Tritan cao cấp tiêu chuẩn thực phẩm, lõi lọc 3 lớp (vải không dệt, than hoạt tính gáo dừa, nhựa trao đổi ion), bơm nước không dây siêu êm."	"Tạo ra dòng nước tuần hoàn giàu oxy mô phỏng dòng suối tự nhiên nhằm kích thích bản năng uống nước nhiều hơn của thú cưng, ngăn ngừa bệnh suy thận nguy hiểm. Hệ thống lọc 3 lớp lọc sạch bụi bẩn, lông rụng, kim loại nặng và mùi clo trong nước máy."	"Lắp ráp máy theo sách hướng dẫn. Ngâm lõi lọc mới trong nước 10 phút trước khi lắp. Đổ nước sạch vào khay chứa tối đa 1.35L, cắm dây USB vào củ sạc. Nhấn nút chuyển đổi chế độ Smart (bơm ngắt quãng) hoặc Normal (bơm liên tục). Thay lõi lọc mỗi 30 ngày."	Dung tích 1.35L, vận hành siêu êm dưới 30dB, có đèn LED báo cạn nước và nhắc thay lõi lọc	Đề xuất	assets/images/products/dd-may-03.webp	Ngừng kinh doanh
Đồ dùng	DD-CHEN-04	Chén ăn bằng sứ vân đá cao cấp chân đế gỗ chống gù lưng	Nupet	Đồ dùng	145.000	129.000	18	4	Việt Nam	4.8	39	"Chén làm bằng đất sét trắng nung ở nhiệt độ cao tráng men sứ vân đá hoa cương cao cấp, chân đế làm bằng gỗ tre tự nhiên được phủ lớp sơn chống ẩm mốc."	"Nâng chiều cao bát ăn lên 10cm với độ nghiêng 15 độ khoa học giúp bảo vệ cột sống cổ của thú cưng, làm giảm đáng kể áp lực lên khớp xương khi ăn. Giúp hạn chế tình trạng trào ngược dạ dày, nôn trớ thức ăn và hỗ trợ tiêu hóa tốt hơn."	"Đặt đế gỗ cố định trên sàn nhà phẳng, đặt chén sứ lên khay nghiêng của đế gỗ. Đổ thức ăn hạt hoặc pate vào chén cho pet ăn. Chén sứ chịu nhiệt tốt nên có thể sử dụng an toàn trong lò vi sóng để hâm nóng pate và rửa sạch trong máy rửa bát."	Chén sứ nặng tay đường kính 15cm sâu 5cm, chân đế gỗ tre cao cấp nghiêng 15 độ, hoa văn vân đá sang trọng	Mới	assets/images/products/dd-chen-04.webp	Còn hàng
Đồ dùng	DD-MAY-05	Máy cho ăn tự động hẹn giờ thông minh Petkit Fresh Element Solo	Petkit	Đồ dùng	1.650.000	1.550.000	8	2	Trung Quốc	4.9	35	"Nhựa ABS cao cấp nguyên sinh chống bám bẩn, bát ăn bằng thép không gỉ 304 tháo rời, hệ thống khóa silicon kín chống kiến gián xâm nhập và giữ hạt luôn giòn."	"Tự động cung cấp hạt thức ăn cho chó mèo đúng giờ và định lượng khoa học theo thiết lập trên điện thoại qua kết nối App Bluetooth. Tránh tình trạng pet ăn quá nhiều gây béo phì hoặc bị đói khi chủ vắng nhà đột xuất."	"Tải App Petkit kết nối máy qua Bluetooth. Đổ hạt khô vào khay chứa tối đa 3L hạt. Thiết lập lịch ăn tự động chi tiết (giờ ăn, số gram). Định kỳ tháo bát inox ra rửa sạch để tránh phát sinh vi khuẩn gây mụn cằm ở mèo."	Dung tích 3L hạt khô, thiết kế chống kẹt hạt thông minh, hoạt động bằng pin dự phòng khi mất điện	Bán chạy	assets/images/products/dd-may-05.webp	Còn hàng
Đồ dùng	DD-CAO-06	Bàn cào móng Carton hình sóng kèm cỏ mèo Pidan	Pidan	Đồ dùng	120.000	99.000	30	5	Trung Quốc	4.7	84	"Carton gợn sóng nén mật độ cao thân thiện môi trường độ bền vượt trội gấp 3 lần carton thường, keo dán sinh học hữu cơ lành tính không chứa hóa chất độc hại amoniac."	"Đáp ứng bản năng cào móng tự nhiên của mèo, giúp loại bỏ lớp móng chết cũ. Bảo vệ thảm trải sàn, chân ghế sofa, rèm cửa trong nhà không bị mèo cào rách xước. Dùng làm chỗ nằm ngủ thư giãn thoải mái cho mèo."	"Đặt bàn cào móng ở vị trí gần nơi mèo hay ngủ hoặc góc phòng mèo thích chơi. Rắc một lượng nhỏ cỏ mèo Catnip đi kèm lên bề mặt bàn cào để kích thích, tạo sự chú ý thu hút mèo đến cào móng tự nhiên."	Kích thước 45x25x6cm hình gợn sóng uốn lượn thoải mái, kèm túi bột cỏ mèo Catnip sấy khô thơm nhẹ	Phổ biến	assets/images/products/dd-cao-06.webp	Còn hàng
Đồ dùng	DD-LONG-17	Chuồng lồng Mica 3 tầng lâu đài cao cấp cho Hamster	OEM	Đồ dùng	450.000	410.000	15	2	Trung Quốc	4.8	34	"Mica nhập khẩu trong suốt chịu lực tốt chống trầy xước, các nan sắt sơn tĩnh điện thoáng khí, các chi tiết cầu trượt và tầng lửng bằng nhựa màu pastel."	"Cung cấp không gian sống lâu đài lộng lẫy, rộng rãi cho Hamster leo trèo vui đùa. Chất liệu Mica trong suốt 100% giúp chủ nuôi dễ dàng quan sát mọi cử động hoạt động đáng yêu của bé từ bên ngoài."	"Lắp ráp các tấm mica và khay nhựa theo giấy hướng dẫn. Đặt các đồ chơi phụ kiện (bánh chạy, khay ăn, bình nước) vào các vị trí thích hợp. Trải cát/mùn cưa dày 2-3cm ở khay đáy chuồng. Vệ sinh chuồng 1 lần/tuần."	Kích thước 47x32x35cm lồng 3 tầng sang trọng đầy đủ phụ kiện đi kèm (bánh chạy, võng nằm, khay ăn)	Mới	assets/images/products/dd-long-17.webp	Còn hàng
Đồ dùng	DD-BAT-18	Bát ăn sứ hình cà rốt dễ thương cho thỏ và Hamster	PawPal	Đồ dùng	65.000	59.000	45	5	Việt Nam	4.9	52	"Sứ trắng tráng men cao cấp nung ở nhiệt độ 1300 độ C loại bỏ tạp chất chì độc hại, vẽ tay hoa văn hình củ cà rốt cam nổi bật đáng yêu."	"Thiết kế nặng tay chống lật bát, tránh tình trạng Hamster hoặc thỏ nghịch ngợm giẫm chân làm đổ thức ăn hạt ra chuồng gây lãng phí bẩn chuồng. Sứ tráng men dễ chùi rửa."	"Đặt bát ăn cố định ở một góc bằng phẳng trong chuồng. Đổ thức ăn hạt ngũ cốc vào khay ăn. Rửa sạch bằng nước ấm sau mỗi bữa ăn của thú nhỏ."	Đường kính bát 10cm, sâu 4cm nặng 200g hình cà rốt dễ thương thích hợp cho thỏ, hamster, bọ ú	Bán chạy	assets/images/products/dd-bat-18.webp	Còn hàng
Vệ sinh	VS-LUOC-01	Lược chải lông nút bấm lấy lông rụng thông minh	Deli	Vệ sinh	120.000	105.000	35	5	Trung Quốc	4.7	112	"Tay cầm bằng nhựa ABS bọc cao su chống trượt, hệ thống kim chải inox không gỉ có bọc hạt nhựa mềm ở đầu kim, nút nhấn đẩy cơ học bằng lò xo."	"Loại bỏ tới 95% lông rụng, lông chết trên cơ thể chó mèo mà không làm tổn thương da khỏe mạnh. Hỗ trợ gỡ các búi lông rối nhẹ nhàng, đồng thời các đầu bọc nhựa giúp massage tăng tuần hoàn máu dưới da, kích thích mọc lông mới mềm mượt hơn."	"Chải nhẹ nhàng dọc theo hướng lông mọc từ đầu đến đuôi. Tránh dùng lực quá mạnh ở các vùng nhạy cảm như bụng, tai. Sau khi chải xong và lông bám đầy trên mặt lược, nhấn nút tròn lớn sau lưng lược để đẩy toàn bộ búi lông rụng ra ngoài chỉ với 1 chạm."	Màu xanh mint mát mắt, kích thước mặt lược rộng 10cm với 250 kim chải bọc đầu nhựa chống xước da	Bán chạy	assets/images/products/vs-luoc-01.webp	Còn hàng
Vệ sinh	VS-KIM-02	Kìm cắt móng lò xo có đèn LED và khay hứng móng	Petkit	Vệ sinh	195.000	175.000	2	5	Trung Quốc	4.9	83	"Lưỡi kìm bằng thép không gỉ tôi cứng sắc bén, thân kìm bằng nhựa ABS cao cấp, tích hợp bóng đèn LED siêu sáng dùng pin cúc áo, lò xo trợ lực có độ đàn hồi cao."	"Giúp chủ nuôi cắt tỉa móng chân thú cưng định kỳ một cách gọn gàng, an toàn tại nhà. Đèn LED siêu sáng chiếu trực tiếp soi rõ tủy máu bên trong móng, hạn chế tối đa nguy cơ cắt phạm gây đau đớn và chảy máu cho bé. Thiết kế khay hứng chống móng bắn tung tóe."	"Bật công tắc đèn LED trên tay cầm. Giữ bàn chân thú cưng chắc chắn, ấn nhẹ để móng lộ ra. Đặt kìm một góc 45 độ so với móng, quan sát kỹ dải màu hồng (tủy máu) rồi dứt khoát bấm cắt ở vùng móng trắng bên ngoài. Dùng giũa móng tích hợp ở đuôi kìm để mài mịn."	Tích hợp đèn LED soi tủy móng, có khay nhựa hứng móng cắt, kèm giũa móng ở cán cầm tiện lợi	Khuyên dùng	assets/images/products/vs-kim-02.webp	Còn hàng
